Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns
2018-04-13,Arcandor AG,Steinhoff International Holdings NV,Seadrill Ltd/old,Banca Carige SpA,Outokumpu OYJ,Johnston Press PLC,Provident Financial PLC,Singulus Technologies AG,Vallourec SA,Banca Monte dei Paschi di Siena SpA,Stolt-Nielsen Ltd,Prosafe SE,Fingerprint Cards AB,Ablynx NV,Leonardo SpA,Soco International PLC,Orion Oyj,AXA SA,Heidelberger Druckmaschinen AG,National Bank of Greece SA,Kemira OYJ,Aryzta AG.1,Aryzta AG,Ultra Electronics Holdings PLC,ABN AMRO Group NV,Magnora ASA,Vestas Wind Systems A/S,Public Power Corp SA,Mediaset Espana Comunicacion SA,Eramet,Saipem SpA,TalkTalk Telecom Group PLC,Smurfit Kappa Group PLC,Capita PLC,Promotora de Informaciones SA,Vedanta Resources PLC,Etablissements Maurel et Prom,Nyrstar NV,Norske Skogindustrier ASA,adidas AG,Ophir Energy PLC,Oxurion NV,Tecnicas Reunidas SA,Solarworld AG,TomTom NV,Stagecoach Group PLC,Micro Focus International PLC,bpost SA,OCI NV,Subsea 7 SA,Bovis Homes Group PLC,Indivior PLC,Tomra Systems ASA,FinecoBank Banca Fineco SpA,Elior Group SA,Petrofac Ltd,Orange Belgium SA,Hennes & Mauritz AB,SSAB AB,Credit Agricole SA,0.034538237232136004
2018-04-24,Arcandor AG,Seadrill Ltd/old,Banca Carige SpA,Solarworld AG,Steinhoff International Holdings NV,Banca Monte dei Paschi di Siena SpA,Prosafe SE,Johnston Press PLC,Magnora ASA,Provident Financial PLC,Ablynx NV,Singulus Technologies AG,Outokumpu OYJ,Vallourec SA,Oxurion NV,Leonardo SpA,Heidelberger Druckmaschinen AG,Fingerprint Cards AB,Public Power Corp SA,AXA SA,Orion Oyj,Etablissements Maurel et Prom,Stolt-Nielsen Ltd,Eramet,Ultra Electronics Holdings PLC,Mediaset Espana Comunicacion SA,Kemira OYJ,Aryzta AG,Aryzta AG.1,Stagecoach Group PLC,National Bank of Greece SA,adidas AG,Strabag SE,CD Projekt SA,Siltronic AG,Capita PLC,Vestas Wind Systems A/S,Norske Skogindustrier ASA,Tomra Systems ASA,D/S Norden A/S,Micro Focus International PLC,TomTom NV,Petrofac Ltd,Neopost SA,Technicolor SA.1,Indivior PLC,Vedanta Resources PLC,ABN AMRO Group NV,Saipem SpA,YIT OYJ,BE Semiconductor Industries NV,Bovis Homes Group PLC,Soco International PLC,Smurfit Kappa Group PLC,Abengoa SA,Nyrstar NV,Neste Oyj,Petropavlovsk PLC,TalkTalk Telecom Group PLC,Ophir Energy PLC,0.030833001576732504
2018-05-03,Arcandor AG,Seadrill Ltd/old,Solarworld AG,Banca Carige SpA,Banca Monte dei Paschi di Siena SpA,Steinhoff International Holdings NV,Johnston Press PLC,Norske Skogindustrier ASA,Magnora ASA,Prosafe SE,Singulus Technologies AG,Oxurion NV,Outokumpu OYJ,Provident Financial PLC,Ultra Electronics Holdings PLC,Leonardo SpA,Vallourec SA,Heidelberger Druckmaschinen AG,Eramet,Etablissements Maurel et Prom,Fingerprint Cards AB,Stolt-Nielsen Ltd,Ablynx NV,AXA SA,Stagecoach Group PLC,Kemira OYJ,National Bank of Greece SA,Mediaset Espana Comunicacion SA,Orion Oyj,Capita PLC,Smurfit Kappa Group PLC,Siltronic AG,Aryzta AG,Aryzta AG.1,Public Power Corp SA,adidas AG,YIT OYJ,BE Semiconductor Industries NV,CD Projekt SA,TomTom NV,Vestas Wind Systems A/S,Petrofac Ltd,D/S Norden A/S,TalkTalk Telecom Group PLC,Saipem SpA,Neopost SA,ABN AMRO Group NV,Strabag SE,Tomra Systems ASA,Micro Focus International PLC,AIXTRON SE,Indivior PLC,Neste Oyj,Soco International PLC,Ophir Energy PLC,Bovis Homes Group PLC,Technicolor SA.1,Serco Group PLC,Pharol SGPS SA,Ashtead Group PLC,-0.005621768170858631
2018-05-14,Arcandor AG,Seadrill Ltd/old,Banca Carige SpA,Steinhoff International Holdings NV,Johnston Press PLC,Banca Monte dei Paschi di Siena SpA,Magnora ASA,Outokumpu OYJ,Oxurion NV,Prosafe SE,Eramet,Heidelberger Druckmaschinen AG,National Bank of Greece SA,Leonardo SpA,Etablissements Maurel et Prom,Petrofac Ltd,Fingerprint Cards AB,Stagecoach Group PLC,Ultra Electronics Holdings PLC,AXA SA,Singulus Technologies AG,Technicolor SA.1,Stolt-Nielsen Ltd,Ablynx NV,Vallourec SA,Mediaset Espana Comunicacion SA,Siltronic AG,Public Power Corp SA,AIXTRON SE,adidas AG,Kemira OYJ,Smurfit Kappa Group PLC,Tomra Systems ASA,Aryzta AG.1,Aryzta AG,Orion Oyj,Ophir Energy PLC,Capita PLC,TalkTalk Telecom Group PLC,CD Projekt SA,Strabag SE,Indivior PLC,Neste Oyj,Hennes & Mauritz AB,TomTom NV,Premier Oil PLC,D/S Norden A/S,Saipem SpA,Aurubis AG,Soco International PLC,Autoliv Inc,Arnoldo Mondadori Editore SpA,Micro Focus International PLC,Neopost SA,Umicore SA,Nyrstar NV,ABN AMRO Group NV,Debenhams PLC,Ashtead Group PLC,Vestas Wind Systems A/S,0.01641661825658822
2018-05-23,Arcandor AG,Steinhoff International Holdings NV,Banca Carige SpA,Banca Monte dei Paschi di Siena SpA,Johnston Press PLC,Outokumpu OYJ,Magnora ASA,Oxurion NV,Siltronic AG,Prosafe SE,Fingerprint Cards AB,Etablissements Maurel et Prom,Ultra Electronics Holdings PLC,Stagecoach Group PLC,adidas AG,Heidelberger Druckmaschinen AG,National Bank of Greece SA,Leonardo SpA,Vallourec SA,Singulus Technologies AG,Ophir Energy PLC,Petrofac Ltd,Aryzta AG,Aryzta AG.1,Capita PLC,Mediaset Espana Comunicacion SA,Tomra Systems ASA,Stolt-Nielsen Ltd,Ablynx NV,Strabag SE,CD Projekt SA,Eramet,Smurfit Kappa Group PLC,AXA SA,AIXTRON SE,Neste Oyj,Orion Oyj,Hennes & Mauritz AB,Aurubis AG,Neopost SA,Public Power Corp SA,Kemira OYJ,Dechra Pharmaceuticals PLC,Promotora de Informaciones SA,Debenhams PLC,TalkTalk Telecom Group PLC,STMicroelectronics NV.1,Autoliv Inc,Umicore SA,Rheinmetall AG,Societe Generale SA,Technicolor SA.1,Nexans SA,Soco International PLC,Arnoldo Mondadori Editore SpA,STMicroelectronics NV,Premier Oil PLC,Infineon Technologies AG,WPP PLC,D/S Norden A/S,0.014581404322357114
2018-06-01,Arcandor AG,Steinhoff International Holdings NV,Banca Carige SpA,Banca Monte dei Paschi di Siena SpA,Johnston Press PLC,Magnora ASA,Outokumpu OYJ,Oxurion NV,Prosafe SE,Fingerprint Cards AB,Singulus Technologies AG,Etablissements Maurel et Prom,Siltronic AG,Ultra Electronics Holdings PLC,National Bank of Greece SA,Stagecoach Group PLC,Capita PLC,Heidelberger Druckmaschinen AG,adidas AG,Seadrill Ltd/old,Ablynx NV,Ophir Energy PLC,Tomra Systems ASA,Petrofac Ltd,Mediaset Espana Comunicacion SA,Vallourec SA,Aryzta AG,Aryzta AG.1,Aurubis AG,Leonardo SpA,Stolt-Nielsen Ltd,Technicolor SA.1,Strabag SE,Orion Oyj,Neste Oyj,Premier Oil PLC,Dechra Pharmaceuticals PLC,AXA SA,Promotora de Informaciones SA,Autoliv Inc,Public Power Corp SA,Neopost SA,STMicroelectronics NV.1,Hennes & Mauritz AB,Umicore SA,Kemira OYJ,TalkTalk Telecom Group PLC,Nexans SA,Debenhams PLC,Soco International PLC,Smurfit Kappa Group PLC,Ocado Group PLC,STMicroelectronics NV,Tecnicas Reunidas SA,Infineon Technologies AG,Eramet,Ashtead Group PLC,Rheinmetall AG,GRENKE AG,Banco BPI SA,-0.05357789900995594
2018-06-12,Arcandor AG,Steinhoff International Holdings NV,Banca Carige SpA,Aryzta AG,Aryzta AG.1,Banca Monte dei Paschi di Siena SpA,Outokumpu OYJ,Oxurion NV,Prosafe SE,Johnston Press PLC,Magnora ASA,Singulus Technologies AG,Siltronic AG,National Bank of Greece SA,Stagecoach Group PLC,adidas AG,Ultra Electronics Holdings PLC,Ablynx NV,Eniro AB,Tomra Systems ASA,Heidelberger Druckmaschinen AG,Technicolor SA.1,Ophir Energy PLC,Vallourec SA,Fingerprint Cards AB,Stolt-Nielsen Ltd,Norske Skogindustrier ASA,Etablissements Maurel et Prom,Petrofac Ltd,Kemira OYJ,Premier Oil PLC,Public Power Corp SA,Capita PLC,STMicroelectronics NV.1,Orion Oyj,AXA SA,Eramet,Umicore SA,Soco International PLC,Neopost SA,Aurubis AG,Societe Generale SA,Mediaset Espana Comunicacion SA,Neste Oyj,Dechra Pharmaceuticals PLC,STMicroelectronics NV,Smurfit Kappa Group PLC,Meyer Burger Technology AG,ALTICE EUROPE NV,Autoliv Inc,Leonardo SpA,Nexans SA,Infineon Technologies AG,WPP PLC,Strabag SE,Banco BPI SA,Ocado Group PLC,Eurobank Ergasias SA,Hennes & Mauritz AB,GRENKE AG,0.007479731324870894
2018-06-21,Arcandor AG,Steinhoff International Holdings NV,Banca Carige SpA,Aryzta AG.1,Aryzta AG,Banca Monte dei Paschi di Siena SpA,Outokumpu OYJ,Oxurion NV,Magnora ASA,Eniro AB,Siltronic AG,adidas AG,Johnston Press PLC,National Bank of Greece SA,Prosafe SE,Technicolor SA.1,Ultra Electronics Holdings PLC,Stagecoach Group PLC,Public Power Corp SA,Tomra Systems ASA,Singulus Technologies AG,Stolt-Nielsen Ltd,Etablissements Maurel et Prom,Orion Oyj,Umicore SA,STMicroelectronics NV.1,Meyer Burger Technology AG,Capita PLC,Heidelberger Druckmaschinen AG,Ablynx NV,Aurubis AG,Pharol SGPS SA,Vallourec SA,Petrofac Ltd,Fingerprint Cards AB,Inmarsat PLC,STMicroelectronics NV,AXA SA,ALTICE EUROPE NV,Kemira OYJ,Dechra Pharmaceuticals PLC,Norske Skogindustrier ASA,Elior Group SA,Neste Oyj,Nexans SA,Infineon Technologies AG,Societe Generale SA,Mediaset Espana Comunicacion SA,Neopost SA,Premier Oil PLC,Smurfit Kappa Group PLC,Hennes & Mauritz AB,Autoliv Inc,Banco BPI SA,TalkTalk Telecom Group PLC,Fomento de Construcciones y Contratas SA,GRENKE AG,Soco International PLC,Tecnicas Reunidas SA,Euronext NV.1,-0.025208980211375895
2018-07-02,Arcandor AG,Banca Monte dei Paschi di Siena SpA,Banca Carige SpA,Oxurion NV,Steinhoff International Holdings NV,Aryzta AG,Aryzta AG.1,Outokumpu OYJ,Siltronic AG,Prosafe SE,Technicolor SA.1,Pharol SGPS SA,Tomra Systems ASA,Ultra Electronics Holdings PLC,Eniro AB,Magnora ASA,Singulus Technologies AG,Stolt-Nielsen Ltd,Stagecoach Group PLC,Inmarsat PLC,Indivior PLC,adidas AG,Aurubis AG,Dechra Pharmaceuticals PLC,Orange Belgium SA,Johnston Press PLC,Umicore SA,Etablissements Maurel et Prom,Ablynx NV,Vallourec SA,Public Power Corp SA,Orion Oyj,CD Projekt SA,Petrofac Ltd,Norske Skogindustrier ASA,Independent News & Media PLC,Mediaset Espana Comunicacion SA,Infineon Technologies AG,Societe Generale SA,Heidelberger Druckmaschinen AG,National Bank of Greece SA,AXA SA,ConvaTec Group PLC,STMicroelectronics NV.1,Electricite de France SA,Neste Oyj,Autoliv Inc,ALTICE EUROPE NV,Strabag SE,Kemira OYJ,Rolls-Royce Holdings PLC,Neopost SA,Banco BPI SA,Coca-Cola HBC AG,Smurfit Kappa Group PLC,Thomas Cook Group PLC,Rheinmetall AG,STMicroelectronics NV,TalkTalk Telecom Group PLC,Capita PLC,-0.0358312497298588
2018-07-11,Arcandor AG,Banca Monte dei Paschi di Siena SpA,Banca Carige SpA,Johnston Press PLC,Aryzta AG.1,Aryzta AG,Siltronic AG,Oxurion NV,Seadrill Ltd/old,Pharol SGPS SA,Public Power Corp SA,Magnora ASA,Outokumpu OYJ,Meyer Burger Technology AG,Steinhoff International Holdings NV,Norske Skogindustrier ASA,Technicolor SA.1,Prosafe SE,STMicroelectronics NV.1,Umicore SA,adidas AG,Dechra Pharmaceuticals PLC,Aurubis AG,Infineon Technologies AG,National Bank of Greece SA,BE Semiconductor Industries NV,STMicroelectronics NV,OSRAM Licht AG,Orange Belgium SA,Indivior PLC,Prysmian SpA,EI Group PLC,Ultra Electronics Holdings PLC,Eniro AB,JM AB,Autoliv Inc,Ablynx NV,Singulus Technologies AG,Tomra Systems ASA,Stagecoach Group PLC,Stolt-Nielsen Ltd,ASML Holding NV,Orion Oyj,Bourbon Corp,Thomas Cook Group PLC,Wirecard AG,Electricite de France SA,GRENKE AG,Bovis Homes Group PLC,Ashtead Group PLC,Micro Focus International PLC,Euronext NV.1,Kemira OYJ,Independent News & Media PLC,Neste Oyj,KION Group AG,Societe Generale SA,YIT OYJ,Banco BPI SA,AXA SA,0.021363921532063002
