,Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns,Investment
50,2015-01-23,Seat Pagine Gialle SpA,Petrofac Ltd,Snam Rete Gas SpA,CNH Industrial NV,Fugro NV,Enel SpA,Mediolanum SpA,Banca Popolare dell'Emilia Romagna Scrl,Intesa Sanpaolo,Banco Santander SA,Polymetal International PLC,Petroleum Geo-Services ASA,Kinnevik AB,Fresnillo PLC,Terna Rete Elettrica Nazionale SpA,Prysmian SpA,UnipolSai Assicurazioni SpA,Endesa SA,Metso OYJ,Kloeckner & Co SE,Bayer AG,Schneider Electric SE,Enel Green Power SpA,Danone SA,Mondi PLC,TomTom NV,Travis Perkins PLC,Carrefour SA,Petropavlovsk PLC,TOTAL SA,Banco BPM SpA,Banco Popolare SC,Alstom SA.1,Persimmon PLC,Hexpol AB,Air France-KLM,Telecom Italia SpA,Davide Campari-Milano SpA,Tenaris SA,Polyus Gold International Ltd,BASF SE,Banca Popolare di Milano Scarl,Unicredit SpA,Deutsche Lufthansa AG,TAG Immobilien AG,Societe BIC SA,Sanofi,Assicurazioni Generali SpA,Koninklijke Philips NV,Mediobanca SpA,Nokia OYJ,Ashtead Group PLC,Sika AG.1,Sika AG,EXOR NV,Hikma Pharmaceuticals PLC,Abengoa SA,Vinci SA,Nordea Bank Abp,NMC Health PLC,0.07922732338311612,96.84
51,2015-02-03,Seat Pagine Gialle SpA,Snam Rete Gas SpA,CNH Industrial NV,Polymetal International PLC,Petrofac Ltd,Kinnevik AB,Banco Santander SA,Fugro NV,Enel SpA,Intesa Sanpaolo,Alpiq Holding AG,Fresnillo PLC,Kloeckner & Co SE,Air France-KLM,Mondi PLC,Mediolanum SpA,Terna Rete Elettrica Nazionale SpA,Danone SA,Sika AG,Sika AG.1,Prysmian SpA,Roche Holding AG.1,Roche Holding AG,Bayer AG,Metso OYJ,Schneider Electric SE,TomTom NV,Enel Green Power SpA,EFG International AG,UnipolSai Assicurazioni SpA,Petropavlovsk PLC,Travis Perkins PLC,Helvetia Holding AG,Deutsche Lufthansa AG,Julius Baer Group Ltd.1,Julius Baer Group Ltd,Alstom SA.1,Hexpol AB,Swisscom AG.1,Swisscom AG,Endesa SA,Persimmon PLC,Aurubis AG,Hargreaves Lansdown PLC,Davide Campari-Milano SpA,Vinci SA,EXOR NV,BASF SE,Valora Holding AG,Next PLC,Moncler SpA,Ashtead Group PLC,EssilorLuxottica SA,RPC Group PLC,Allreal Holding AG,Imagination Technologies Group PLC,TOTAL SA,Nibe Industrier AB,Sanofi,Sandvik AB,0.012740318089202052,98.07
52,2015-02-12,Seat Pagine Gialle SpA,Afren PLC,Snam Rete Gas SpA,CNH Industrial NV,Petrofac Ltd,Polymetal International PLC,Fugro NV,Kinnevik AB,Alpiq Holding AG,Fresnillo PLC,Kloeckner & Co SE,Banco Santander SA,Petropavlovsk PLC,Enel SpA,EFG International AG,Intesa Sanpaolo,Terna Rete Elettrica Nazionale SpA,Mediolanum SpA,Air France-KLM,Mondi PLC,Julius Baer Group Ltd.1,Julius Baer Group Ltd,TomTom NV,NMC Health PLC,Alstom SA.1,Schneider Electric SE,Prysmian SpA,Sika AG.1,Sika AG,Metso OYJ,Aurubis AG,KGHM Polska Miedz SA,Electrolux AB,Helvetia Holding AG,Danone SA,Bayer AG,Travis Perkins PLC,Nibe Industrier AB,Deutsche Lufthansa AG,Enel Green Power SpA,Rio Tinto PLC,Nemetschek SE,Roche Holding AG.1,Roche Holding AG,Temenos AG,Imagination Technologies Group PLC,Nordea Bank Abp,Endesa SA,BASF SE,Abengoa SA,Eniro AB,Nyrstar NV,RPC Group PLC,Anglo American PLC,Valora Holding AG,Swisscom AG,Swisscom AG.1,WH Smith PLC,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,0.0030112809149303627,98.37
53,2015-02-23,Seat Pagine Gialle SpA,Afren PLC,Snam Rete Gas SpA,CNH Industrial NV,Fugro NV,Polymetal International PLC,Petrofac Ltd,Kinnevik AB,Alpiq Holding AG,Kloeckner & Co SE,Banco Santander SA,Intesa Sanpaolo,Enel SpA,Mediolanum SpA,Terna Rete Elettrica Nazionale SpA,Fresnillo PLC,Petropavlovsk PLC,EFG International AG,Air France-KLM,Mondi PLC,Prysmian SpA,Alstom SA.1,Schneider Electric SE,TomTom NV,Helvetia Holding AG,NMC Health PLC,Bayer AG,Nordea Bank Abp,Travis Perkins PLC,Julius Baer Group Ltd.1,Julius Baer Group Ltd,Abengoa SA,Electrolux AB,Danone SA,Sika AG,Sika AG.1,Nemetschek SE,Endesa SA,Eniro AB,KGHM Polska Miedz SA,Deutsche Lufthansa AG,Hargreaves Lansdown PLC,Nyrstar NV,Metso OYJ,Enel Green Power SpA,Continental AG,Aurubis AG,BASF SE,Valora Holding AG,Bankinter SA,Swisscom AG,Swisscom AG.1,Roche Holding AG,Roche Holding AG.1,Allreal Holding AG,Hexpol AB,Vinci SA,UnipolSai Assicurazioni SpA,Rio Tinto PLC,Polyus Gold International Ltd,0.034055378224723515,101.72
54,2015-03-04,Seat Pagine Gialle SpA,Afren PLC,Snam Rete Gas SpA,CNH Industrial NV,Polymetal International PLC,Fugro NV,Petrofac Ltd,Alpiq Holding AG,Kinnevik AB,Banco Santander SA,Intesa Sanpaolo,Enel SpA,Kloeckner & Co SE,Mediolanum SpA,Air France-KLM,Fresnillo PLC,Terna Rete Elettrica Nazionale SpA,TomTom NV,Nyrstar NV,Mondi PLC,Prysmian SpA,Alstom SA.1,Bayer AG,Helvetia Holding AG,Petropavlovsk PLC,Travis Perkins PLC,Schneider Electric SE,EFG International AG,Nordea Bank Abp,NMC Health PLC,Sika AG,Sika AG.1,Danone SA,Endesa SA,Electrolux AB,Julius Baer Group Ltd.1,Julius Baer Group Ltd,Hargreaves Lansdown PLC,Aurubis AG,Enel Green Power SpA,Nemetschek SE,Deutsche Lufthansa AG,Metso OYJ,Eniro AB,BASF SE,Continental AG,Allreal Holding AG,Valora Holding AG,Atlantia SpA,Abengoa SA,Imagination Technologies Group PLC,KGHM Polska Miedz SA,Swisscom AG,Swisscom AG.1,Nibe Industrier AB,UnipolSai Assicurazioni SpA,Anglo American PLC,Hexpol AB,WH Smith PLC,TAG Immobilien AG,0.016283196103745925,103.38
55,2015-03-13,Seat Pagine Gialle SpA,Afren PLC,CNH Industrial NV,Snam Rete Gas SpA,Polymetal International PLC,Kinnevik AB,Petropavlovsk PLC,Petrofac Ltd,Alpiq Holding AG,Intesa Sanpaolo,Fugro NV,Banco Santander SA,Mediolanum SpA,Nyrstar NV,Kloeckner & Co SE,Fresnillo PLC,Terna Rete Elettrica Nazionale SpA,Air France-KLM,Enel SpA,TomTom NV,Alstom SA.1,Travis Perkins PLC,Prysmian SpA,Bayer AG,EFG International AG,Mondi PLC,Julius Baer Group Ltd.1,Julius Baer Group Ltd,Helvetia Holding AG,Schneider Electric SE,Weir Group PLC/The,Nordea Bank Abp,Electrolux AB,Danone SA,NMC Health PLC,Abengoa SA,Meggitt PLC,Sika AG.1,Sika AG,Deutsche Lufthansa AG,GKN Ltd,Nemetschek SE,Valora Holding AG,Continental AG,BASF SE,Home Retail Group Ltd,Endesa SA,Hargreaves Lansdown PLC,Croda International PLC,TAG Immobilien AG,Metso OYJ,Persimmon PLC,Aurubis AG,KGHM Polska Miedz SA,Prosafe SE,Hikma Pharmaceuticals PLC,Allreal Holding AG,Anglo American PLC,Bankinter SA,Roche Holding AG,0.011161076135202766,104.53
56,2015-03-24,Seat Pagine Gialle SpA,Snam Rete Gas SpA,CNH Industrial NV,Afren PLC,Kinnevik AB,Polymetal International PLC,Nyrstar NV,Banco Santander SA,Enel SpA,Intesa Sanpaolo,Petropavlovsk PLC,TomTom NV,Alpiq Holding AG,Prysmian SpA,Petrofac Ltd,Home Retail Group Ltd,Mediolanum SpA,Terna Rete Elettrica Nazionale SpA,Kloeckner & Co SE,Fugro NV,Air France-KLM,Bayer AG,Julius Baer Group Ltd,Julius Baer Group Ltd.1,Nordea Bank Abp,Imagination Technologies Group PLC,Mondi PLC,Electrolux AB,Schneider Electric SE,Alstom SA.1,EFG International AG,Sika AG,Sika AG.1,Continental AG,Travis Perkins PLC,Fresnillo PLC,Helvetia Holding AG,BASF SE,Deutsche Lufthansa AG,Endesa SA,Aurubis AG,Assicurazioni Generali SpA,Swisscom AG,Swisscom AG.1,Meggitt PLC,Allreal Holding AG,Abengoa SA,Danone SA,Valora Holding AG,Hexpol AB,Telecom Italia SpA,TAG Immobilien AG,Rio Tinto PLC,GKN Ltd,EXOR NV,Croda International PLC,UnipolSai Assicurazioni SpA,Autoliv Inc,WH Smith PLC,Anglo American PLC,0.011215547331441393,105.7
57,2015-04-02,Seat Pagine Gialle SpA,CNH Industrial NV,Snam Rete Gas SpA,Afren PLC,Home Retail Group Ltd,Polymetal International PLC,Prysmian SpA,Kinnevik AB,Alpiq Holding AG,Air France-KLM,Enel SpA,TomTom NV,Bayer AG,Petrofac Ltd,Kloeckner & Co SE,Banco Santander SA,Nordea Bank Abp,Mondi PLC,Intesa Sanpaolo,Julius Baer Group Ltd,Julius Baer Group Ltd.1,Fugro NV,Electrolux AB,Travis Perkins PLC,Terna Rete Elettrica Nazionale SpA,Alstom SA.1,Deutsche Lufthansa AG,Nyrstar NV,Imagination Technologies Group PLC,Schneider Electric SE,Aurubis AG,Mediolanum SpA,Continental AG,RPC Group PLC,Valora Holding AG,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,Persimmon PLC,EFG International AG,BASF SE,Sika AG.1,Sika AG,Ashtead Group PLC,GKN Ltd,Meggitt PLC,Assicurazioni Generali SpA,Swisscom AG.1,Swisscom AG,Polyus Gold International Ltd,Abengoa SA,Autoliv Inc,DS Smith PLC,Hikma Pharmaceuticals PLC,WH Smith PLC,Hargreaves Lansdown PLC,SVF Holdco UK Ltd,EXOR NV,Cobham PLC,Helvetia Holding AG,Intu Properties PLC,-0.00811016378651504,104.84
58,2015-04-13,Seat Pagine Gialle SpA,Afren PLC,CNH Industrial NV,Snam Rete Gas SpA,Home Retail Group Ltd,Nyrstar NV,Air France-KLM,Polymetal International PLC,Aurubis AG,Prysmian SpA,Alpiq Holding AG,Bayer AG,TomTom NV,Petrofac Ltd,Valora Holding AG,Abengoa SA,EFG International AG,Banco Santander SA,Intesa Sanpaolo,Kinnevik AB,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,Eniro AB,Alstom SA.1,BASF SE,Kloeckner & Co SE,Julius Baer Group Ltd,Julius Baer Group Ltd.1,Nordea Bank Abp,Enel SpA,Continental AG,Nemetschek SE,Imagination Technologies Group PLC,Travis Perkins PLC,Valiant Holding AG,Terna Rete Elettrica Nazionale SpA,Sika AG,Sika AG.1,Swisscom AG.1,Swisscom AG,GKN Ltd,Autoliv Inc,Meggitt PLC,Schneider Electric SE,Helvetia Holding AG,Mondi PLC,Deutsche Lufthansa AG,Fugro NV,Electrolux AB,Allreal Holding AG,Assicurazioni Generali SpA,Ashtead Group PLC,Endesa SA,Cie de Saint-Gobain,Swiss Prime Site AG,Swiss Prime Site AG.1,Danone SA,Fresnillo PLC,Nobel Biocare Holding AG.1,Mediolanum SpA,0.025518187900676385,107.52
59,2015-04-22,Seat Pagine Gialle SpA,Afren PLC,CNH Industrial NV,Snam Rete Gas SpA,Home Retail Group Ltd,Air France-KLM,Nyrstar NV,Polymetal International PLC,Prysmian SpA,Bayer AG,Aurubis AG,Banco Santander SA,Nordea Bank Abp,Eniro AB,Nemetschek SE,Alpiq Holding AG,Electrolux AB,BASF SE,Enel SpA,EFG International AG,Intesa Sanpaolo,Abengoa SA,Petrofac Ltd,Kinnevik AB,Continental AG,Schneider Electric SE,Kloeckner & Co SE,Valora Holding AG,Swisscom AG,Swisscom AG.1,Alstom SA.1,Sika AG.1,Sika AG,Terna Rete Elettrica Nazionale SpA,OC Oerlikon Corp AG,OC Oerlikon Corp AG.1,Vinci SA,Autoliv Inc,AIB Group PLC,Travis Perkins PLC,TomTom NV,Meggitt PLC,Ashtead Group PLC,Deutsche Lufthansa AG,Cie de Saint-Gobain,Endesa SA,GKN Ltd,Julius Baer Group Ltd.1,Julius Baer Group Ltd,Mondi PLC,Valiant Holding AG,Hikma Pharmaceuticals PLC,Assicurazioni Generali SpA,Volvo AB,Allreal Holding AG,Helvetia Holding AG,EXOR NV,Daimler AG,Imagination Technologies Group PLC,Mediolanum SpA,-0.015353551828893554,105.87
