Date,Stock1,Stock2,Stock3,Stock4,Stock5,Stock6,Stock7,Stock8,Stock9,Stock10,Stock11,Stock12,Stock13,Stock14,Stock15,Stock16,Stock17,Stock18,Stock19,Stock20,Stock21,Stock22,Stock23,Stock24,Stock25,Stock26,Stock27,Stock28,Stock29,Stock30,Stock31,Stock32,Stock33,Stock34,Stock35,Stock36,Stock37,Stock38,Stock39,Stock40,Stock41,Stock42,Stock43,Stock44,Stock45,Stock46,Stock47,Stock48,Stock49,Stock50,Stock51,Stock52,Stock53,Stock54,Stock55,Stock56,Stock57,Stock58,Stock59,Stock60,Returns
2014-04-24,AIB Group PLC,Permanent TSB Group Holdings PLC,Imagination Technologies Group PLC,Solarworld AG,National Bank of Greece SA,Banca Piccolo Credito Valtellinese Scarl,Outokumpu OYJ,Eurobank Ergasias SA,Banca Monte dei Paschi di Siena SpA,Orange Belgium SA,Genmab A/S,REC Silicon ASA,Nokia OYJ,Norske Skogindustrier ASA,Bank of Ireland Group PLC,Dexia SA,Premier Foods PLC,Meyer Burger Technology AG,Titan Cement Co SA,Vedanta Resources PLC,Eniro AB,D/S Norden A/S,Abengoa SA,Janus Henderson Group PLC,TGS NOPEC Geophysical Co ASA,Santander Bank Polska SA,K+S AG,Rieter Holding AG,Serco Group PLC,Brenntag AG,Solocal Group,Acciona SA,Orpea,Cie Plastic Omnium SA,Straumann Holding AG,Mediclinic International PLC,Telekom Austria AG,Smurfit Kappa Group PLC,Evonik Industries AG,Alten SA,Ocado Group PLC,SGL Carbon SE,Jyske Bank A/S,RCS MediaGroup SpA,AGFA-Gevaert NV,Acerinox SA,Evraz PLC,Sonova Holding AG,Sonova Holding AG.1,Metropole Television SA,Technicolor SA.1,Ambu A/S,Hargreaves Lansdown PLC,FLSmidth & Co A/S,Peugeot SA,Galapagos NV,Coloplast A/S,Sika AG,Sika AG.1,Danske Bank A/S,0.022978339079186196
2014-05-05,AIB Group PLC,Permanent TSB Group Holdings PLC,Solarworld AG,Imagination Technologies Group PLC,National Bank of Greece SA,Outokumpu OYJ,Eurobank Ergasias SA,Banca Piccolo Credito Valtellinese Scarl,Norske Skogindustrier ASA,Banca Monte dei Paschi di Siena SpA,Titan Cement Co SA,Premier Foods PLC,Nokia OYJ,REC Silicon ASA,Genmab A/S,D/S Norden A/S,Orange Belgium SA,Bank of Ireland Group PLC,Eniro AB,Santander Bank Polska SA,Vedanta Resources PLC,K+S AG,Rieter Holding AG,Abengoa SA,Alten SA,Janus Henderson Group PLC,Evonik Industries AG,Orpea,Solocal Group,Serco Group PLC,Evraz PLC,Acciona SA,Straumann Holding AG,Galapagos NV,Mediclinic International PLC,Kenmare Resources PLC,TGS NOPEC Geophysical Co ASA,Areva SA,Coloplast A/S,Stolt-Nielsen Ltd,Jyske Bank A/S,Cie Plastic Omnium SA,Brenntag AG,Acerinox SA,Meyer Burger Technology AG,RCS MediaGroup SpA,Sonova Holding AG,Sonova Holding AG.1,Temenos AG,Telekom Austria AG,Bucher Industries AG,Metropole Television SA,Prosafe SE,Tomra Systems ASA,Faurecia SA,SGL Carbon SE,Sika AG.1,Sika AG,Grifols SA,Ocado Group PLC,0.002406259642577082
2014-05-14,AIB Group PLC,Permanent TSB Group Holdings PLC,Solarworld AG,Eurobank Ergasias SA,National Bank of Greece SA,Premier Foods PLC,Norske Skogindustrier ASA,Outokumpu OYJ,Imagination Technologies Group PLC,REC Silicon ASA,Banca Piccolo Credito Valtellinese Scarl,Titan Cement Co SA,Banca Monte dei Paschi di Siena SpA,Dexia SA,Bank of Ireland Group PLC,Nokia OYJ,D/S Norden A/S,Orange Belgium SA,K+S AG,Straumann Holding AG,Genmab A/S,Vedanta Resources PLC,Eniro AB,Rieter Holding AG,Santander Bank Polska SA,Orpea,Solocal Group,Janus Henderson Group PLC,Ocado Group PLC,Evonik Industries AG,Temenos AG,Acciona SA,Abengoa SA,Meyer Burger Technology AG,Cie Plastic Omnium SA,Alten SA,Evraz PLC,SGL Carbon SE,Bucher Industries AG,Serco Group PLC,Metropole Television SA,Galapagos NV,RCS MediaGroup SpA,Eurofins Scientific SE,Arnoldo Mondadori Editore SpA,Acerinox SA,Smurfit Kappa Group PLC,Petropavlovsk PLC,Brenntag AG,Sonova Holding AG.1,Sonova Holding AG,Coloplast A/S,Randgold Resources Ltd,RSA Insurance Group PLC,Faurecia SA,1&1 Drillisch AG,TGS NOPEC Geophysical Co ASA,Syngenta AG,Peugeot SA,Stora Enso OYJ,-0.007679780460856585
2014-05-23,Solarworld AG,AIB Group PLC,Permanent TSB Group Holdings PLC,Dexia SA,Eurobank Ergasias SA,Norske Skogindustrier ASA,Imagination Technologies Group PLC,Banca Monte dei Paschi di Siena SpA,National Bank of Greece SA,Outokumpu OYJ,Banca Piccolo Credito Valtellinese Scarl,Bank of Ireland Group PLC,Premier Foods PLC,Orange Belgium SA,Vedanta Resources PLC,D/S Norden A/S,Titan Cement Co SA,Eniro AB,K+S AG,Evraz PLC,Straumann Holding AG,REC Silicon ASA,Abengoa SA,Ocado Group PLC,Meyer Burger Technology AG,Orpea,Rieter Holding AG,Evonik Industries AG,Alten SA,Genmab A/S,Janus Henderson Group PLC,Sacyr SA,Peugeot SA,Santander Bank Polska SA,Acciona SA,BG Group Ltd,Bucher Industries AG,Metropole Television SA,Eurofins Scientific SE,RCS MediaGroup SpA,RSA Insurance Group PLC,Galapagos NV,Danske Bank A/S,Cie Plastic Omnium SA,Solocal Group,Sydbank A/S,Temenos AG,Faurecia SA,Arnoldo Mondadori Editore SpA,1&1 Drillisch AG,TGS NOPEC Geophysical Co ASA,SGL Carbon SE,Suedzucker AG,Thomas Cook Group PLC,Basilea Pharmaceutica AG,Delhaize Group SCA,Eramet,Brenntag AG,UPM-Kymmene OYJ,Ambu A/S,-0.017860963522217898
2014-06-03,Solarworld AG,AIB Group PLC,Permanent TSB Group Holdings PLC,Eurobank Ergasias SA,Norske Skogindustrier ASA,Premier Foods PLC,Imagination Technologies Group PLC,National Bank of Greece SA,Outokumpu OYJ,Banca Monte dei Paschi di Siena SpA,Banca Piccolo Credito Valtellinese Scarl,Dexia SA,Titan Cement Co SA,Bank of Ireland Group PLC,Eniro AB,Meyer Burger Technology AG,Solocal Group,K+S AG,Evraz PLC,REC Silicon ASA,Abengoa SA,Orange Belgium SA,Vedanta Resources PLC,Straumann Holding AG,Evonik Industries AG,Bucher Industries AG,Janus Henderson Group PLC,D/S Norden A/S,Peugeot SA,Ocado Group PLC,Alten SA,Genmab A/S,Sacyr SA,BG Group Ltd,Galapagos NV,Rieter Holding AG,Eurofins Scientific SE,Basilea Pharmaceutica AG,Cie Plastic Omnium SA,Sydbank A/S,Orpea,Metropole Television SA,Faurecia SA,Danske Bank A/S,RSA Insurance Group PLC,Temenos AG,TGS NOPEC Geophysical Co ASA,Acerinox SA,Prosafe SE,KION Group AG,UPM-Kymmene OYJ,APERAM SA,Suedzucker AG,1&1 Drillisch AG,Areva SA,BB Biotech AG,Santander Bank Polska SA,Rheinmetall AG,Arnoldo Mondadori Editore SpA,Randgold Resources Ltd,0.030699200197765574
2014-06-12,AIB Group PLC,Solarworld AG,Permanent TSB Group Holdings PLC,Eurobank Ergasias SA,Norske Skogindustrier ASA,Imagination Technologies Group PLC,Premier Foods PLC,National Bank of Greece SA,Banca Monte dei Paschi di Siena SpA,Outokumpu OYJ,Eniro AB,Banca Piccolo Credito Valtellinese Scarl,Bank of Ireland Group PLC,Solocal Group,Titan Cement Co SA,Meyer Burger Technology AG,REC Silicon ASA,K+S AG,Vedanta Resources PLC,Abengoa SA,Evraz PLC,Orange Belgium SA,Ocado Group PLC,Straumann Holding AG,D/S Norden A/S,Janus Henderson Group PLC,Evonik Industries AG,Peugeot SA,Bucher Industries AG,Alten SA,Galapagos NV,BG Group Ltd,Metropole Television SA,Basilea Pharmaceutica AG,Sacyr SA,Orpea,Faurecia SA,Eurofins Scientific SE,Sydbank A/S,Cie Plastic Omnium SA,Temenos AG,KION Group AG,1&1 Drillisch AG,Genmab A/S,SGL Carbon SE,Smurfit Kappa Group PLC,Danske Bank A/S,APERAM SA,UPM-Kymmene OYJ,RSA Insurance Group PLC,Rieter Holding AG,TGS NOPEC Geophysical Co ASA,Acerinox SA,Prosafe SE,AVEVA Group PLC,Rheinmetall AG,Tecan Group AG,BB Biotech AG,Areva SA,NKT A/S,0.0030315454180117043
2014-06-23,Solarworld AG,AIB Group PLC,Permanent TSB Group Holdings PLC,Norske Skogindustrier ASA,Eurobank Ergasias SA,Premier Foods PLC,Banca Monte dei Paschi di Siena SpA,Imagination Technologies Group PLC,National Bank of Greece SA,Outokumpu OYJ,Titan Cement Co SA,Eniro AB,Bank of Ireland Group PLC,Meyer Burger Technology AG,Banca Piccolo Credito Valtellinese Scarl,Evraz PLC,Solocal Group,Abengoa SA,Straumann Holding AG,Peugeot SA,K+S AG,Vedanta Resources PLC,Evonik Industries AG,Orange Belgium SA,D/S Norden A/S,Janus Henderson Group PLC,Bucher Industries AG,REC Silicon ASA,Galapagos NV,Ocado Group PLC,Sacyr SA,Cie Plastic Omnium SA,BG Group Ltd,Eurofins Scientific SE,Rieter Holding AG,Alten SA,Basilea Pharmaceutica AG,1&1 Drillisch AG,Sydbank A/S,SGL Carbon SE,RSA Insurance Group PLC,Orpea,TGS NOPEC Geophysical Co ASA,AVEVA Group PLC,Metropole Television SA,Faurecia SA,KION Group AG,Danske Bank A/S,Smurfit Kappa Group PLC,Temenos AG,Rheinmetall AG,Nobel Biocare Holding AG.1,Areva SA,BB Biotech AG,Prosafe SE,Serco Group PLC,Merck KGaA,UPM-Kymmene OYJ,Technicolor SA.1,Hargreaves Lansdown PLC,0.0017784514226082038
2014-07-02,Solarworld AG,Eurobank Ergasias SA,AIB Group PLC,Permanent TSB Group Holdings PLC,National Bank of Greece SA,Imagination Technologies Group PLC,Premier Foods PLC,Norske Skogindustrier ASA,Banca Monte dei Paschi di Siena SpA,Titan Cement Co SA,Outokumpu OYJ,Evraz PLC,Bank of Ireland Group PLC,Eniro AB,Banca Piccolo Credito Valtellinese Scarl,Meyer Burger Technology AG,REC Silicon ASA,Ocado Group PLC,Orange Belgium SA,K+S AG,Abengoa SA,Peugeot SA,Janus Henderson Group PLC,D/S Norden A/S,Galapagos NV,Solocal Group,Evonik Industries AG,Cie Plastic Omnium SA,Straumann Holding AG,Sydbank A/S,Basilea Pharmaceutica AG,Alten SA,Metropole Television SA,Vedanta Resources PLC,Faurecia SA,Tomra Systems ASA,Sacyr SA,SGL Carbon SE,Public Power Corp SA,Colt Group SA,Bucher Industries AG,UPM-Kymmene OYJ,Centamin PLC,BG Group Ltd,AVEVA Group PLC,Royal Imtech NV,RSA Insurance Group PLC,Orpea,1&1 Drillisch AG,Delhaize Group SCA,Nobel Biocare Holding AG.1,Seat Pagine Gialle SpA,Rieter Holding AG,Hargreaves Lansdown PLC,Smurfit Kappa Group PLC,Danske Bank A/S,Suedzucker AG,Indra Sistemas SA,KION Group AG,Coca-Cola HBC AG,-0.042432736570951375
2014-07-11,Solarworld AG,AIB Group PLC,Eurobank Ergasias SA,Banca Monte dei Paschi di Siena SpA,Permanent TSB Group Holdings PLC,Imagination Technologies Group PLC,Outokumpu OYJ,Titan Cement Co SA,Norske Skogindustrier ASA,Premier Foods PLC,National Bank of Greece SA,Evraz PLC,Abengoa SA,Eniro AB,Bank of Ireland Group PLC,Peugeot SA,REC Silicon ASA,K+S AG,Banca Piccolo Credito Valtellinese Scarl,Meyer Burger Technology AG,Galapagos NV,Ocado Group PLC,Basilea Pharmaceutica AG,Royal Imtech NV,Orange Belgium SA,D/S Norden A/S,Evonik Industries AG,Janus Henderson Group PLC,Solocal Group,Alten SA,Faurecia SA,Cie Plastic Omnium SA,Colt Group SA,Straumann Holding AG,Tomra Systems ASA,Bucher Industries AG,SGL Carbon SE,Sydbank A/S,Orpea,Sacyr SA,Vedanta Resources PLC,Metropole Television SA,Public Power Corp SA,UPM-Kymmene OYJ,Rieter Holding AG,Technicolor SA.1,RSA Insurance Group PLC,AVEVA Group PLC,Kemira OYJ,Corbion NV,KION Group AG,BG Group Ltd,Georg Fischer AG,Eurofins Scientific SE,Danske Bank A/S,NH Hotel Group SA,Eramet,Indra Sistemas SA,Valiant Holding AG,Prosafe SE,-0.040249575191811986
2014-07-22,AIB Group PLC,Eurobank Ergasias SA,Banca Monte dei Paschi di Siena SpA,Imagination Technologies Group PLC,Solarworld AG,Outokumpu OYJ,Eniro AB,Permanent TSB Group Holdings PLC,Premier Foods PLC,National Bank of Greece SA,Evraz PLC,Titan Cement Co SA,Norske Skogindustrier ASA,Ocado Group PLC,Abengoa SA,Banca Piccolo Credito Valtellinese Scarl,REC Silicon ASA,Bank of Ireland Group PLC,Peugeot SA,Galapagos NV,D/S Norden A/S,Solocal Group,K+S AG,Meyer Burger Technology AG,Basilea Pharmaceutica AG,Orange Belgium SA,Straumann Holding AG,Janus Henderson Group PLC,Royal Imtech NV,Evonik Industries AG,Public Power Corp SA,Arnoldo Mondadori Editore SpA,Alpha Bank AE,Sacyr SA,Colt Group SA,Cie Plastic Omnium SA,Vedanta Resources PLC,Faurecia SA,Alten SA,Bucher Industries AG,SGL Carbon SE,Hellenic Telecommunications Organization,Sydbank A/S,BG Group Ltd,Banco Espirito Santo SA,Piraeus Bank SA,Georg Fischer AG,Metropole Television SA,UPM-Kymmene OYJ,AVEVA Group PLC,Nobel Biocare Holding AG.1,Commerzbank AG,Areva SA,Rieter Holding AG,Thomas Cook Group PLC,1&1 Drillisch AG,RSA Insurance Group PLC,Prosafe SE,Danske Bank A/S,Tomra Systems ASA,-0.011849153425201717
